"Continent","Region","Country"
"Malaysia","USSR (until 1991)","Malaysia"
"Myanmar","USSR (until 1991)","Myanmar"
"Philippines","USSR (until 1991)","Philippines"
"Singapore","USSR (until 1991)","Singapore"
"Thailand","USSR (until 1991)","Thailand"
"Timor-Leste","USSR (until 1991)","Timor-Leste"
"Viet Nam","USSR (until 1991)","Viet Nam"
"Western Asia","USSR (until 1991)","Western Asia"
"Armenia","USSR (until 1991)","Armenia"
"Azerbaijan","USSR (until 1991)","Azerbaijan"
"Bahrain","USSR (until 1991)","Bahrain"
"Cyprus","USSR (until 1991)","Cyprus"
"Democratic Yemen (until 1990)","USSR (until 1991)","Democratic Yemen (until 1990)"
"Georgia","USSR (until 1991)","Georgia"
"Iraq","USSR (until 1991)","Iraq"
"Israel","USSR (until 1991)","Israel"
"Jordan","USSR (until 1991)","Jordan"
"Kuwait","USSR (until 1991)","Kuwait"
"Lebanon","USSR (until 1991)","Lebanon"
"Occupied Palestinian Territory","USSR (until 1991)","Occupied Palestinian Territory"
"Oman","USSR (until 1991)","Oman"
"Qatar","USSR (until 1991)","Qatar"
"Saudi Arabia","USSR (until 1991)","Saudi Arabia"
"Syrian Arab Republic","USSR (until 1991)","Syrian Arab Republic"
"Turkey","USSR (until 1991)","Turkey"
"United Arab Emirates","USSR (until 1991)","United Arab Emirates"
"Yemen (until 1990)","USSR (until 1991)","Yemen (until 1990)"
"Yemen","USSR (until 1991)","Yemen"
"Central Asia","USSR (until 1991)","Central Asia"
"Kazakhstan","USSR (until 1991)","Kazakhstan"
"Kyrgyzstan","USSR (until 1991)","Kyrgyzstan"
"Tajikistan","USSR (until 1991)","Tajikistan"
"Turkmenistan","USSR (until 1991)","Turkmenistan"
"Uzbekistan","USSR (until 1991)","Uzbekistan"
"Africa","USSR (until 1991)","Africa"
"Northern Africa","USSR (until 1991)","Northern Africa"
"Algeria","USSR (until 1991)","Algeria"
"Egypt","USSR (until 1991)","Egypt"
"Libya","USSR (until 1991)","Libya"
"Morocco","USSR (until 1991)","Morocco"
"South Sudan","USSR (until 1991)","South Sudan"
"Sudan (North)","USSR (until 1991)","Sudan (North)"
"Sudan (until 2011)","USSR (until 1991)","Sudan (until 2011)"
"Tunisia","USSR (until 1991)","Tunisia"
"Western Sahara","USSR (until 1991)","Western Sahara"
"Western Africa","USSR (until 1991)","Western Africa"
"Benin","USSR (until 1991)","Benin"
"Burkina Faso","USSR (until 1991)","Burkina Faso"
"Cape Verde","USSR (until 1991)","Cape Verde"
"Cote d'Ivoire","USSR (until 1991)","Cote d'Ivoire"
"Gambia","USSR (until 1991)","Gambia"
"Ghana","USSR (until 1991)","Ghana"
"Guinea","USSR (until 1991)","Guinea"
"Guinea-Bissau","USSR (until 1991)","Guinea-Bissau"
"Liberia","USSR (until 1991)","Liberia"
"Mali","USSR (until 1991)","Mali"
"Mauritania","USSR (until 1991)","Mauritania"
"Niger","USSR (until 1991)","Niger"
"Nigeria","USSR (until 1991)","Nigeria"
"Saint Helena","USSR (until 1991)","Saint Helena"
"Senegal","USSR (until 1991)","Senegal"
"Sierra Leone","USSR (until 1991)","Sierra Leone"
"Togo","USSR (until 1991)","Togo"
"Middle Africa","USSR (until 1991)","Middle Africa"
"Angola","USSR (until 1991)","Angola"
"Cameroon","USSR (until 1991)","Cameroon"
"Central African Republic","USSR (until 1991)","Central African Republic"
"Chad","USSR (until 1991)","Chad"
"Congo","USSR (until 1991)","Congo"
"Democratic Republic of the Congo","USSR (until 1991)","Democratic Republic of the Congo"
"Equatorial Guinea","USSR (until 1991)","Equatorial Guinea"
"Gabon","USSR (until 1991)","Gabon"
"Sao Tome and Principe","USSR (until 1991)","Sao Tome and Principe"
"Southern Africa","USSR (until 1991)","Southern Africa"
"Botswana","USSR (until 1991)","Botswana"
"Lesotho","USSR (until 1991)","Lesotho"
"Namibia","USSR (until 1991)","Namibia"
"South Africa","USSR (until 1991)","South Africa"
"Swaziland","USSR (until 1991)","Swaziland"
"Eastern Africa","USSR (until 1991)","Eastern Africa"
"Burundi","USSR (until 1991)","Burundi"
"Comoros","USSR (until 1991)","Comoros"
"Djibouti","USSR (until 1991)","Djibouti"
"Eritrea","USSR (until 1991)","Eritrea"
"Ethiopia (until 1993)","USSR (until 1991)","Ethiopia (until 1993)"
"Ethiopia (from 1993)","USSR (until 1991)","Ethiopia (from 1993)"
"Kenya","USSR (until 1991)","Kenya"
"Madagascar","USSR (until 1991)","Madagascar"
"Malawi","USSR (until 1991)","Malawi"
"Mauritius","USSR (until 1991)","Mauritius"
"Mayotte","USSR (until 1991)","Mayotte"
"Mozambique","USSR (until 1991)","Mozambique"
"Rwanda","Réunion","Rwanda"
"Seychelles","Réunion","Seychelles"
"Somalia","Réunion","Somalia"
"Uganda","Réunion","Uganda"
"United Republic of Tanzania","Réunion","United Republic of Tanzania"
"Zambia","Réunion","Zambia"
"Zimbabwe","Réunion","Zimbabwe"
